Camara,Nome,Partido
Alandroal,Joao Maria Aranha Grilo,PS
Alandroal,Joao Carlos Camoes Roma Balsante,PS
Alandroal,Paulo Jorge da Silva Goncalves,PS
Alandroal,Fernanda Manuela Brites Romao,PS
Alandroal,Elisabete de Jesus dos Passos,NC
Alandroal,Jose Alberto Noronha Marques Robalo,
Alandroal,Jose Augusto Roma Pereira,
Alandroal,Goncalo Manuel Saraiva Grasina,
Alandroal,Fatima Brites,
Alandroal,Maria Amelia Fernandes Gomes,
Alandroal,Jose Inacio Frade Padilha,
Alandroal,Paulo Jorge Pires Jaleco,
Alandroal,Luisa Maria da Rosa Valente,
Alandroal,Leonor Maria Pereira Rocha,
Alandroal,Inacio Joaquim Rosado Germano,
Alandroal,Elisa Maria Almas Figueira,
Alandroal,Maria da Conceicao Trindade Ramos Rosa,
Alandroal,Helder Joao Galrito Salgado,
Alandroal,Tome Joaquim Fale Laranjinho,
Alandroal,Maria Jose Pereira Lopes,
Alandroal,Manuel Inacio da Silva Fialho,
Alandroal,Patricia Alexandra Valido Piteira,
Alandroal,Joaquim Ramalho Boieiro,
Alandroal,Joselina Maria Fialho de Paiva,
Campo Maior,Luis Fernando Martins Rosinha,PS
Campo Maior,Paulo Ivo Sabino Martins de Almeida,PCP-PEV
Campo Maior,Paulo Jorge Furtado Pinheiro,PS
Campo Maior,Maria da Encarnacao Grifo Silveirinha,PS
Campo Maior,Fatima do Rosario Pingo Vitorino Pereira,PCP-PEV
Campo Maior,Jorge Manuel Gama Grifo,PS
Campo Maior,Anabela Lopes Carrilho,PS
Campo Maior,Xavier Golaio Goncalves,PS
Campo Maior,Joao Camelo,PS
Campo Maior,Esperanca Jeronimo,PS
Campo Maior,Carlos Pepe,PS
Campo Maior,Elsa Elias,PS
Campo Maior,Joao Borrega,PS
Campo Maior,Joao Cirilo,PS
Campo Maior,Miguel Tavares,PS
Campo Maior,Pedro Reis,CDU
Campo Maior,Carlos Cardoso,CDU
Campo Maior,Maria Leao,CDU
Campo Maior,Filipe Pereira,CDU
Campo Maior,Carla Carrajana,CDU
Campo Maior,Miguel Campos,CDU
Campo Maior,Hugo Rodrigo,CDU
Campo Maior,Filipe Cabral,CHEGA
Campo Maior,Joao Manuel de Almeida Cirilo,PS
Campo Maior,Hugo Milton Cordeiro Rodrigo,CDU
Campo Maior,Gaudencio Miguel Carrapato Galina Fortes Ta,PS
Covilha,Vitor Manuel Pinheiro Pereira,PS
Covilha,Pedro Miguel Santos Farromba,CDS-PP/PSD
Covilha,Jose Armando Serra dos Reis,PS
Covilha,Maria Regina Gomes Gouveia,PS
Covilha,Ricardo Miguel Correia Leitao Ferreira da Silva,CDS-PP/PSD
Covilha,Marta Maria Tomaz Gomes Morais Alcada Bom Jesus,CDS-PP.PPD/PSD
Covilha,Jose Miguel Ribeiro Oliveira,PS
Covilha,Antonio Manuel Pais Carrico,DMI
Covilha,Carlos do Carmo Martins,DMI
Covilha,Cristina Maria Conde de Campos Barata,
Covilha,Cesar Araujo Craveiro,DMI
Covilha,Daniel Nave Tavares,DMI
Covilha,Daniela Sofia Pereira Correia,DMI
Covilha,David Jose Carrico Raposo da Silva,DMI
Covilha,Gabriel Simoes Lopes Gouveia,DMI
Covilha,Gilberto Miguel Fortuna Melfe,DMI
Covilha,Joana Patricio Campos,DMI
Covilha,Jorge Ricardo Gouveia Viegas,DMI
Covilha,Jose Antonio Serra Guerreiro,DMI
